Validation results on test dataset:
R2 of lnk within 500-2000K is 0.9525
Average RMSE of lnk within 500-2000K is 2.6287
Average NRMSE of lnk within 500-2000K is 13.95%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.7034	10.9856	41.56%	44.51%
n:	0.6204	1.4018	90.72%	72.68%
E:	0.9445	5433.6692	154.65%	29.29%
lnk(500K):	0.9495	4.1068	254.97%	24.43%
lnk(1000K):	0.9393	2.0477	10.22%	10.14%
lnk(2000K):	0.8592	1.7161	5.99%	6.90%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	1.7161	1.6912	1.7220	1.7976	1.9088	2.0477	2.2082	2.3853	2.5754	2.7758	2.9844	3.1997	3.4203	3.6455	3.8746	4.1068
NRMSE:	6.90%	7.10%	7.56%	8.27%	9.20%	10.14%	11.16%	12.31%	13.57%	14.93%	16.38%	17.93%	19.48%	21.07%	22.72%	24.43%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
C4H9OaOO=C4H8OaOOHb	13.4120	1.6900	22886.6016	0.8808	13.5692	20.4991	18.5048	0.7710	18670.6504	4.5056	14.4354	19.6676
C4H9OaOO=C4H8OaOOHc	14.0306	1.2800	14623.7988	7.2674	15.5136	20.0803	17.6905	0.8858	17828.8945	5.2520	14.8379	19.9378
C4H9OaOO=C4H8OaOOHd	12.2453	1.4200	20871.5996	0.0640	11.5513	17.7871	17.7729	0.9094	18966.0391	4.3361	14.5105	19.9128
C4H9ObOO=C4H8ObOOHa	13.0836	1.9200	30857.3008	-6.0403	10.8185	19.9134	21.9627	0.5989	25389.9863	0.1312	13.3230	20.1265
C4H9ObOO=C4H8ObOOHc	15.3904	1.3800	13882.6016	9.9945	17.9371	22.3866	18.8038	0.8302	21190.6836	2.6360	13.8750	19.7823
C4H9ObOO=C4H8ObOOHd	14.5763	1.4000	20164.2012	2.9827	14.1001	20.1441	17.9099	0.9061	20311.8574	3.0983	13.9476	19.6863
C4H8OaOOHb=C4H8OcyOab+OH	25.1202	0.6000	10003.5996	18.7809	24.2308	27.1637	39.6532	-1.4131	19195.2402	11.5526	20.2326	24.0828
C4H8OaOOHc=C4H8OcyOac+OH	22.1020	0.7300	9377.6006	17.2007	22.4257	25.2912	34.8689	-0.7933	19377.0703	10.4373	19.6383	23.9639
C4H8OaOOHd=C4H8OcyOad+OH	19.6988	0.6800	12213.4004	11.6327	18.2501	21.7944	29.9987	-0.2174	20444.1543	8.0720	18.2092	23.2025
C4H8ObOOHa=C4H8OcyOab+OH	24.8292	0.6300	12036.5000	16.6304	23.1241	26.5893	35.4193	-0.8718	20497.2480	9.3721	19.0825	23.6355
C4H8ObOOHc=C4H8OcyObc+OH	27.1433	0.2000	19927.7012	8.3302	18.4968	23.6494	34.3169	-0.5772	19353.1953	11.2523	20.5911	25.0605
C4H8ObOOHd=C4H8OcyOac+OH	24.3288	0.2700	14927.9004	10.9827	18.6819	22.6250	30.6512	-0.2432	18995.7441	10.0216	19.4120	24.0229
C4H8ObOOHcOO=bCOC3H7OcOOH+OH	15.3904	1.3800	13882.6016	9.9945	17.9371	22.3866	17.8945	0.9507	15183.4219	8.5217	16.8213	21.3006
C4H8ObOOHdOO=bCOC3H7OdOOH+OH	14.0306	1.2800	14623.7988	7.2674	15.5136	20.0803	19.3999	0.8122	13881.2305	10.4768	18.0250	22.0807
