Validation results on test dataset:
R2 of lnk within 500-2000K is 0.9543
Average RMSE of lnk within 500-2000K is 2.6166
Average NRMSE of lnk within 500-2000K is 13.85%

	R2 score	RMSE	MPE	NRMSE
lnA:	-3.3774	33.9208	377.02%	145.47%
n:	-3.7630	4.2875	1037932402.81%	249.19%
E:	0.8501	8090.4009	165.02%	42.60%
lnk(500K):	0.9636	3.3857	56.48%	20.29%
lnk(1000K):	0.9169	2.3325	19.93%	11.66%
lnk(2000K):	0.6995	2.2691	6.51%	9.06%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	2.2691	2.1756	2.1691	2.2062	2.2642	2.3325	2.4068	2.4857	2.5698	2.6599	2.7573	2.8632	2.9784	3.1036	3.2393	3.3857
NRMSE:	9.06%	9.09%	9.50%	10.14%	10.93%	11.66%	12.38%	13.16%	13.92%	14.71%	15.53%	16.41%	17.33%	18.29%	19.26%	20.29%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
PODE2B=CH3OCHO+CH3OCH2	28.0628	0.2700	14316.4389	15.3321	22.7236	26.5129	97.3038	-7.9993	33532.7593	13.8429	25.1726	28.0651
PODE2B=COCOC*O+CH3	22.4602	1.0600	14579.3513	14.3745	22.4458	26.8489	55.2676	-2.9339	24919.7611	11.9545	22.4610	26.6974
PODE2AO2=PODE2_OOH1_3	20.5794	0.7400	15391.9717	9.6871	17.9456	22.3313	40.2174	-1.9718	18055.0415	9.7918	17.5107	20.6867
PODE2BO2=PODE2_OOH3_1	30.0820	-0.4400	17112.8124	10.1246	18.4311	22.4319	36.0273	-1.1010	20869.0073	8.1817	17.9202	22.4079
PODE2_OOH1_5=CO2HOCOC*O+CH3	34.1248	-0.1700	17566.9178	15.3883	24.1104	28.4126	81.9793	-6.0640	32848.0542	11.2344	23.5609	27.6226
C2H5OC2H5=CH3+C2H5OCH2	84.8818	-5.5420	102929.8416	-53.1522	-5.1973	16.8594	17.9296	2.2419	75680.1952	-44.3056	-4.6679	15.9280
C2H5OC2H5+OH=C2H5OCHCH3+H2O	23.1998	0.9800	568.0039	28.7185	29.6836	30.5058	-3.0176	4.1087	-6239.0643	28.7954	28.5037	29.7818
C4H9ObOO=C4H8ObOOHd	14.5763	1.4000	20164.2036	2.9827	14.1002	20.1441	61.9945	-4.5270	28247.5115	5.4315	16.5083	20.4778
C4H8OaOOHb=C4H8OcyOab+OH	25.1202	0.6000	10003.6002	18.7809	24.2308	27.1637	28.9114	0.0423	13102.3240	15.9877	22.6104	25.9364
C4H8OaOOHc=C4H8OcyOac+OH	22.1020	0.7300	9377.5980	17.2007	22.4257	25.2912	50.7574	-3.1523	20598.7722	10.4356	18.6163	21.6141
C4H8OaOOHd=C4H8OcyOad+OH	19.6988	0.6800	12213.4008	11.6327	18.2501	21.7944	46.0204	-2.6418	20533.5118	8.9366	17.4383	20.7735
C2H5OCH2OC2H5=C2H5+C2H5OCH2O	63.0285	-3.1600	86810.6012	-43.9793	-2.4848	17.1672	29.5867	0.7877	76283.4566	-42.2929	-3.3596	16.3800
C2H5OCH2OC2H5+H=C2H5OCH2OC2H4p+H2	11.8494	2.5400	8320.7964	19.2601	25.2079	29.0621	32.1186	-0.1389	8790.2648	22.4084	26.7356	28.8510
C2H5OCH2OC2H5+CH3=C2H5OCHOC2H5+CH4	8.7323	2.3700	7916.2042	15.4938	21.1201	24.7546	11.7440	1.9385	8506.3004	15.2298	20.8540	24.3379
C2H5OCH2OC2H5+C2H5=C2H5OCH2OC2H4s+C2H6	12.3588	1.8400	9451.1034	14.2817	20.3131	23.9665	-9.8246	4.6400	6564.6702	12.4040	18.9236	23.7916
C3H8+H=IC3H7+H2	13.7124	2.4370	4550.0029	24.2781	28.2569	31.0909	6.7293	3.0881	1154.2617	24.7592	27.4806	29.9116
C3H8+CH3O=IC3H7+CH3OH	26.4271	-0.0000	7000.0016	19.3820	22.9045	24.6658	11.7483	1.8330	3270.4294	19.8480	22.7643	24.8577
C3H8+O2=IC3H7+HO2	31.3124	0.0000	47700.0001	-16.6948	7.3088	19.3106	37.4064	-0.6274	53737.5170	-20.5762	6.0307	19.1167
NC3H7O2=C3H6OOH1-2	19.1162	1.1000	30100.0022	-4.3415	11.5678	19.9037	57.0557	-3.7168	34791.3209	-1.0582	13.8732	20.0507
C3H6OOH1-3=OH+C3H6O1-2	58.9409	-5.2900	29002.8010	-3.1240	7.8041	11.4347	34.4038	-1.0264	13690.9999	14.2462	20.4244	23.1577
C3H6OOH2-1=OH+C3H6O1-2	42.5385	-2.0000	14250.8041	15.7667	21.5517	23.7510	49.9475	-2.9449	18403.0933	13.1244	20.3439	22.9330
O2+C3H6OOH1-2=C3H6OOH1-2O2	52.5515	-3.2800	2694.8799	29.4553	28.5379	26.9425	34.2534	-1.0304	8.6352	27.8409	27.1310	26.4189
C3H6OOH1-3O2=C3KET13+OH	12.0257	1.4800	16237.8991	4.8809	14.0780	19.1895	38.6057	-1.5599	21435.4879	7.3379	17.0434	21.3555
C4H10=NC3H7+CH3	63.7125	-2.7300	98193.4971	-52.0791	-4.5585	18.2556	50.6523	-1.5920	88268.0823	-48.0775	-4.7627	16.3430
C4H10+HO2=PC4H9+H2O2	3.0350	3.5900	15600.0017	9.6449	19.9836	26.3971	27.6977	0.3940	20543.9347	9.4698	20.0810	25.5231
C4H10+O2=SC4H9+HO2	31.3199	0.0000	49799.9987	-18.8008	6.2596	18.7897	8.6157	3.0494	48470.1618	-21.2161	5.2887	19.5979
C4H10+O=SC4H9+OH	31.6599	-0.0000	5200.0019	26.4265	29.0432	30.3516	18.1640	1.5136	1420.8628	26.1401	27.9043	29.3109
C4H10+HO2=SC4H9+H2O2	4.8395	3.3700	13719.9999	11.9743	21.2144	27.0024	13.9995	2.0256	16357.8165	10.1248	19.7604	25.2802
C4H10+CH3O2=SC4H9+CH3O2H	4.8363	3.3700	15219.9970	10.4615	20.4564	26.6218	10.7005	2.3673	15584.8936	9.7268	19.2103	24.7725
PC4H9+O2=PC4H9O2	38.7678	-1.6270	198.6983	28.4567	27.4289	26.3511	25.7587	0.1212	-1311.4590	27.8319	27.2559	27.0100
NC5H12+OH=C5H11-2+H2O	23.3701	0.9350	504.6986	28.6729	29.5749	30.3500	7.5789	2.7368	-3409.0792	28.0180	28.1995	29.2387
NC5H12+O2=C5H11-3+HO2	30.2701	-0.0000	50160.0040	-20.2129	5.0286	17.6493	-3.1734	4.2353	41323.6949	-18.4428	5.2878	18.6209
NC5H12+H=C5H11-3+H2	14.0779	2.4000	4471.0046	24.4931	28.4066	31.1951	29.0655	0.1419	5320.5099	24.5928	27.3686	28.8056
C5H11-2=C3H6+C2H5	27.2857	0.6900	29636.7129	1.7462	17.1383	25.0734	67.3026	-4.4558	38146.9668	1.2191	17.3269	23.8366
C5H11O2-2=C5H10OOH2-1	20.4072	1.1000	33499.9974	-6.4725	11.1479	20.3393	20.4679	0.9170	29396.3167	-3.4192	12.0092	20.0412
C5H11O2-2=C5H10OOH2-3	21.2633	0.9000	29500.0019	-2.8335	12.6353	20.6816	76.3349	-6.1853	36772.8728	0.8858	15.1033	20.0683
C5H10OOH1-3=OH+CH2O+C4H8-1	20.6290	1.4000	25500.0021	3.6652	17.4677	24.8542	24.8514	0.6862	26908.8932	2.0338	16.0506	23.2968
C5H10OOH3-1=OH+C2H5CHO+C2H4	42.5766	-1.7300	26820.0010	4.8327	17.1299	22.6789	36.1507	-0.8558	28184.8511	2.4659	16.0559	22.5543
C5H10OOH1-3O2=NC5KET13+OH	9.3039	2.4000	19900.0041	4.1908	15.8684	22.5390	40.1526	-1.6404	24641.6951	5.1579	16.4210	21.4841
CJOCOCO2H=C3H6O3_15+OH	46.8138	-2.4799	17501.3295	13.7884	20.8765	23.5611	36.1868	-1.1518	13283.5037	15.6597	21.5458	24.0897
CH3OCH2OCH3+H=CH3OCH2OCH2+H2	15.4329	2.3000	6453.1541	23.2318	28.0734	31.2913	20.7510	1.4470	6831.1857	22.8682	27.3088	30.0305
CH3OCH2OCH3+CH3=CH3OCH2OCH2+CH4	5.5413	3.1200	9345.1214	15.5255	22.3908	26.9048	33.5570	-0.4195	15128.8477	15.7237	23.0461	26.5619
CH3OCH2OCH3+O=CH3OCH2OCH2+OH	15.5074	2.1480	3080.7799	25.7558	28.7950	31.0590	37.6944	-0.7879	8135.1182	24.6102	28.1578	29.6586
COCO2JOCO2H=COCO2HOC*O+OH	18.3673	1.0850	18603.9991	6.3863	16.5003	21.9333	18.6833	1.1755	11872.3863	14.0396	20.8288	24.6307
COCO2HOCO2J=COC*OOCO2H+OH	23.9966	0.8060	17141.0019	11.7542	20.9386	25.8101	-3.7907	3.4504	8237.4503	9.3618	15.8987	20.3630
CH3OCH3=CH3+CH3O	44.5950	-0.6610	84139.0054	-44.1936	-2.3114	18.4006	326.8562	-35.4783	137361.9832	-31.8740	12.6575	22.6275
CH3OCH3+OH=CH3OCH2+H2O	13.7483	2.2900	-780.6991	28.7655	29.9599	31.3508	15.8665	1.8289	612.4616	26.6162	28.1921	29.6139
CH3OCH3+CH3=CH3OCH2+CH4	1.9488	3.7800	9687.1004	15.6905	23.1853	28.2428	29.2731	-0.1272	11736.7137	16.6703	22.4883	25.3532
CH3OCH2O2=CH2OCH2O2H	33.5445	-1.1300	20033.9994	6.3590	15.6573	19.9148	48.4159	-3.0369	24156.3341	5.2312	15.2821	19.2551
PODE2+CH3O=PODE2A+CH3OH	1.2060	3.6200	1386.2328	22.3077	25.5145	28.3724	24.0980	0.6306	11942.6824	15.9974	22.4443	25.8863
PODE2BO2=PODE2_OOH3_5	19.1908	0.9900	18451.2404	6.7732	16.7444	22.0732	31.9859	-0.9337	16278.7939	9.7998	17.3444	20.7932
PODE2_OOH3_1=COCOC*O+CH2O+OH	23.3765	1.2400	21319.3095	9.6260	21.2138	27.4375	46.0959	-2.2025	20886.1199	11.3878	20.3715	24.1000
PODE2_OOH3_1=C4H8O4_13+OH	31.2971	-0.2000	20411.0907	9.5117	19.6443	24.6413	61.3780	-4.1945	23177.2861	11.9842	20.7401	23.6643
PODE2_OOH3_5=COCO2HOC*O+CH3	24.7486	0.6300	16443.5911	12.1143	20.8258	25.3998	11.0285	2.3681	10633.2563	15.0436	22.0360	26.3528
PODE2_OOH3_5=CH3OCHO+CH3OCHO+OH	40.5126	-0.8000	15272.4703	20.1701	27.3010	30.5892	48.9482	-2.6744	18364.1058	13.8454	21.2328	23.9996
C2H5OC2H5+H=C2H5OCH2CH2+H2	19.2751	1.9300	10742.9962	20.4571	27.2010	31.2418	22.2086	1.3892	9308.5575	21.4733	27.1204	30.4254
C2H5OC2H5+OH=C2H5OCH2CH2+H2O	21.7349	1.3000	4138.0016	25.6492	28.6326	30.5749	30.4621	0.0506	4396.2479	26.3521	28.5995	29.7407
C2H5OCH2CH2=C2H5O+C2H4	45.3281	-2.0200	25971.0036	6.6364	18.3053	23.4397	39.3702	-1.1814	25023.1690	6.8438	18.6171	24.0943
C2H5OCH2CH2+O2=C4H9OaOO	35.1093	-0.9752	-351.5891	29.4026	28.5497	27.7853	27.9423	-0.0837	-112.2065	27.5351	27.4206	27.3344
C4H9OaOO=C4H8OaOOHc	14.0306	1.2800	14623.7998	7.2674	15.5136	20.0803	18.7291	0.6755	16065.2726	6.7587	15.3113	19.8217
C4H9OaOO=C4H8OaOOHd	12.2453	1.4200	20871.5991	0.0640	11.5513	17.7871	30.8633	-1.0984	19971.1036	3.9372	13.2257	17.4893
C4H8ObOOHa=C4H8OcyOab+OH	24.8292	0.6300	12036.4986	16.6304	23.1241	26.5893	62.8864	-4.3950	22266.7363	13.1632	21.3219	23.8781
C4H8ObOOHd=C4H8OcyOac+OH	24.3288	0.2700	14927.8997	10.9827	18.6818	22.6250	-4.0841	3.7111	8982.8847	9.9382	17.0309	21.8635
C2H5OCH2OC2H5+H=C2H5OCHOC2H5+H2	15.6205	2.0900	5009.2025	23.5676	27.5370	30.2460	28.7395	0.3485	9350.3517	21.4947	26.4415	29.0357
C2H5OCH2OC2H4s=C2H5OCH2+CH3CHO	27.1956	0.5770	22818.4022	7.8161	19.6987	25.8400	47.9917	-2.6787	18003.2862	13.2251	20.4279	23.1010
C3H8+OH=IC3H7+H2O	12.8316	2.3051	-561.3228	27.7221	29.0374	30.4940	46.8375	-2.1588	10683.0270	22.6695	26.5491	27.7406
C3H8+CH3O=NC3H7+CH3OH	26.4271	-0.0000	7000.0016	19.3820	22.9045	24.6658	31.6589	-0.4687	11313.0668	17.3604	22.7285	25.2501
IC3H7O2=C3H6OOH2-1	20.0020	1.1000	33499.9976	-6.8776	10.7427	19.9341	67.5361	-5.3134	37337.9082	-3.0631	12.0431	17.7547
O2+C3H6OOH1-3=C3H6OOH1-3O2	41.8250	-1.8500	1005.8433	29.3156	28.5395	27.5102	66.9434	-5.1505	10863.6480	24.0015	25.8982	25.0616
C3H6OOH1-2O2=OH+C3KET12	23.6937	0.1540	25611.9978	-1.1262	11.8690	18.4200	22.8110	0.4338	19642.9932	5.7373	15.9228	21.1658
C4H10=C2H5+C2H5	66.1072	-2.8700	96053.3989	-48.4006	-2.0540	20.1247	118.4051	-10.9362	98040.9555	-48.2313	-6.4755	10.6121
C4H10+OH=SC4H9+H2O	18.3524	1.6100	-34.9997	28.3931	29.4915	30.5987	30.5091	-0.0681	4551.3079	25.5054	27.7485	28.8465
C4H10+CH3O=SC4H9+CH3OH	27.1202	0.0000	6999.9995	20.0751	23.5977	25.3589	16.7979	1.2860	5123.7431	19.6331	23.1028	25.2834
SC4H9+O2=SC4H9O2	33.4853	-0.8160	-536.4952	28.9541	28.1185	27.4179	37.2713	-1.2725	1294.5761	28.0601	27.8295	27.2731
SC4H9O2=C4H8OOH2-4	16.4821	1.4000	20800.0021	4.2486	15.6859	21.8898	36.8942	-1.5977	22411.7926	4.4087	14.5793	19.1109
C4H8OOH2-4=OH+CH3CHO+C2H4	19.5456	1.5000	23500.0038	5.2162	18.0816	25.0341	41.6752	-1.7478	23367.2321	7.2957	17.8431	22.5111
NC5H12=NC3H7+C2H5	67.4657	-2.8700	95800.5978	-46.7876	-0.5682	21.5468	126.2117	-11.9828	97160.8077	-46.0429	-5.4555	10.6853
NC5H12+O2=C5H11-1+HO2	31.3687	-0.0000	52800.0022	-21.7713	4.7987	18.0837	18.7272	1.0939	47428.8840	-22.2090	2.4164	15.1082
NC5H12+O=C5H11-1+OH	32.3584	0.0000	7849.9990	24.4579	28.4081	30.3833	36.7733	-0.6477	8932.7311	23.7582	27.8044	29.6030
NC5H12+HO2=C5H11-1+H2O2	3.0350	3.5900	15600.0017	9.6449	19.9836	26.3971	18.5914	1.2779	16865.2007	9.5592	18.9318	24.0610
NC5H12+CH3=C5H11-1+CH4	-0.1009	3.6500	7153.9969	15.3823	21.5123	25.8424	43.1126	-1.6924	20260.4127	12.2043	21.2266	25.1513
NC5H12+O2=C5H11-2+HO2	30.9632	-0.0000	50160.0026	-19.5198	5.7217	18.3425	21.6302	0.6644	45056.9350	-19.5878	3.5463	15.3436
NC5H12+CH3=C5H11-2+CH4	12.0317	2.1330	7573.9971	17.6647	22.9546	26.3388	38.8360	-1.3372	14627.1381	15.8044	22.2381	24.9916
NC5H12+CH3O=C5H11-2+CH3OH	26.1169	-0.0000	5000.0008	21.0847	23.6008	24.8588	23.8219	0.3031	5261.6938	20.4098	23.2677	24.8017
NC5H12+OH=C5H11-3+H2O	15.5597	1.8110	-1015.4949	27.8363	28.5806	29.5804	25.0941	0.6243	2116.7086	26.8439	28.3418	29.3072
C5H11-1=C2H4+NC3H7	27.5606	0.6300	29397.7067	1.8888	17.1190	24.9524	5.2260	3.0916	18911.7443	5.4057	17.0654	23.9667
C5H11O2-1=C5H10OOH1-4	15.1287	1.2000	16600.0002	5.8793	15.0646	20.0731	26.9136	-0.3014	18940.0683	5.9788	15.3009	19.8575
C5H10OOH2-4+O2=C5H10OOH2-4O2	32.6866	-0.8160	-536.4982	28.1555	27.3199	26.6193	50.5908	-3.0660	3317.3362	28.1984	27.7426	26.4521
CH3OCH2OCH3=CH3+CH3OCH2O	40.6164	-0.0000	81656.0269	-41.5654	-0.4745	20.0710	196.2755	-19.5988	115888.9440	-42.1586	2.5741	18.1481
CH3OCH2OCH3+O2=CH3OCH2OCH2+HO2	9.8416	2.8220	42590.8225	-15.4858	7.9028	20.5751	22.8115	1.0340	39838.5879	-10.8579	9.9063	20.6468
CH3OCH2OCH3+CH3O=CH3OCH2OCH2+CH3OH	6.8876	2.9310	3441.0010	21.6394	25.4026	28.3000	33.3084	-0.5885	11767.4331	17.8077	23.3213	25.8742
COCJOCO2H=CH3OCHO+CH2O+OH	28.5632	0.3700	18486.1049	12.2575	21.8165	26.7242	45.7127	-1.9956	17289.9160	15.9096	23.2269	26.1940
PODE2+CH3O=PODE2B+CH3OH	6.8287	2.8800	1553.5447	23.1632	25.9413	28.3284	6.8354	2.8864	3338.8660	21.4129	25.0937	27.9345
PODE2+HO2=PODE2A+H2O2	-6.9559	4.7800	10420.6530	12.2622	20.8193	26.7545	25.7768	0.6608	13399.0280	16.3981	23.5987	27.4281
PODE2AO2=PODE2_OOH1_5	15.7685	1.0200	11759.0793	10.2726	16.8970	20.5628	5.6859	2.7346	12261.9245	10.3393	18.4052	23.3859
PODE2BO2=PODE2_OOH3_7	22.2251	0.2800	16586.9993	7.2714	15.8124	20.1799	2.6710	3.0143	14246.5700	7.0652	16.3237	21.9976
PODE2_OOH3_7=CH2O+COCO2HOCJ	42.8551	-1.8300	24976.1028	6.3454	17.6454	22.6612	35.1575	-0.7355	19905.6757	10.5527	20.0598	24.5585
PODE2_OOH3_7=C4H8O4_15+OH	48.1096	-2.3700	21247.6047	11.9966	21.0461	24.7494	-1.8911	3.6540	12454.2797	8.2826	17.0826	22.7490
C2H5OC2H5+CH3=C2H5OCH2CH2+CH4	10.0774	2.8800	15041.9994	12.8367	22.4023	28.1833	7.9132	2.6174	10933.5840	13.1754	20.4917	25.0569
C2H5OC2H5+HO2=C2H5OCH2CH2+H2O2	-7.2211	4.7000	13031.9997	8.8716	18.6874	25.2242	7.7978	3.1917	14159.8574	13.3822	22.7201	28.4952
C2H5OC2H5+O=C2H5OCH2CH2+OH	17.8045	2.3000	7106.9979	24.9453	30.1160	33.4984	48.1769	-2.0357	14243.9826	21.1904	26.9472	29.1201
C2H5OC2H5+O=C2H5OCHCH3+OH	17.3360	2.0000	402.9979	29.3596	30.9487	32.4364	32.5329	-0.2018	6322.7571	24.9151	27.9570	29.4079
C2H5OCHCH3+O2=C4H9ObOO	15.7675	1.6359	-842.2589	26.7817	27.4917	28.4137	90.5760	-8.1326	12418.8998	27.5364	28.1488	25.6365
C4H9ObOO=C4H8ObOOHc	15.3904	1.3800	13882.6011	9.9945	17.9371	22.3866	44.5191	-2.1996	28798.8451	1.8653	14.8328	20.5543
C4H8ObOOHc=C4H8OcyObc+OH	27.1433	0.2000	19927.7002	8.3302	18.4968	23.6494	21.3652	0.5385	15866.1670	8.7436	17.1011	21.4664
C4H8ObOOHdOO=bCOC3H7OdOOH+OH	14.0306	1.2800	14623.7998	7.2674	15.5136	20.0803	20.3160	0.9623	15944.5538	10.2489	18.9395	23.6183
C2H5OCH2OC2H5=CH3+C2H5OCH2OCH2	53.9674	-1.7620	90856.2088	-48.4240	-3.9247	17.7143	91.9821	-7.1603	80483.7067	-33.5182	2.0197	17.3070
C2H5OCH2OC2H5=C2H5O+C2H5OCH2	60.7592	-2.9810	89993.9053	-48.3399	-5.1195	15.4576	131.9861	-11.8693	104057.9152	-46.5051	-2.3683	15.5865
C2H5OCH2OC2H5+H=C2H5OCH2OC2H4s+H2	13.4386	2.3200	3810.8043	24.0212	27.5470	30.1139	46.6059	-1.8540	13934.7076	21.0597	26.7869	29.0079
C2H5OCH2OC2H5+CH3=C2H5OCH2OC2H4s+CH4	5.2470	2.7700	7175.5950	15.2397	20.7706	24.4961	20.5308	1.1667	14189.8425	13.5000	21.4493	25.8283
C2H5OCH2OC2H5+C2H5=C2H5OCH2OC2H4p+C2H6	-2.3310	3.6400	11096.3000	9.1224	17.2294	22.5444	26.6302	0.0193	15668.8419	10.9806	18.8789	22.8347
C2H5OCH2OC2H4p=C2H5OCH2O+C2H4	22.9403	0.9890	23036.2972	5.9019	18.1797	24.6614	57.8925	-3.5850	30905.6456	4.5087	17.5761	22.8673
C3H8+OH=NC3H7+H2O	15.7420	2.0000	677.3134	27.4895	29.2166	30.7733	37.1082	-0.8272	5901.1700	26.0282	28.4244	29.3358
C3H8+O2=NC3H7+HO2	31.3124	-0.0000	50900.0009	-19.9154	5.6985	18.5054	-14.9553	5.5662	37749.4465	-18.3558	4.4987	17.8551
NC3H7=C2H4+CH3	25.8109	0.7900	30831.7424	-0.3099	15.7529	24.0580	-35.4505	8.1202	14293.3116	0.6279	13.4490	22.6738
NC3H7O2=C3H6OOH1-3	13.9883	1.6000	20999.9994	2.7965	14.4731	20.8660	4.4761	2.5664	18739.0918	1.5658	12.7746	19.2685
C3H6OOH1-2=OH+C3H6O1-2	33.4422	-0.7460	13073.8012	15.6481	21.7100	24.4824	76.6918	-6.7223	27097.9673	7.6429	16.6195	18.7781
C4H10+O=PC4H9+OH	32.3584	0.0000	7849.9990	24.4579	28.4081	30.3833	61.8051	-3.7374	15890.1697	22.5864	27.9921	29.3997
C4H10+CH3O=PC4H9+CH3OH	26.4271	-0.0000	7000.0016	19.3820	22.9045	24.6658	25.4202	0.2145	10524.4730	16.1608	21.6056	24.4023
C4H10+H=SC4H9+H2	14.7710	2.4000	4470.9966	25.1863	29.0997	31.8882	36.8541	-0.4705	10293.3267	23.5706	28.4243	30.6880
C4H10+CH3=SC4H9+CH4	1.1053	3.4600	5480.9991	17.0915	22.2479	26.0253	21.7857	1.0453	11909.6327	16.2956	23.0133	26.7344
SC4H9=C3H6+CH3	26.0892	0.8400	31309.7509	-0.2018	16.1361	24.5962	-22.7216	6.5175	16592.6347	1.0827	13.9501	22.6425
SC4H9O2=C4H8OOH2-1	21.1004	1.1000	33500.0046	-5.7793	11.8410	21.0324	26.9700	0.1708	30427.0797	-2.5913	12.8386	20.6128
C4H8OOH1-3+O2=C4H8OOH1-3O2	32.7923	-0.8160	-536.5066	28.2612	27.4256	26.7250	45.8336	-2.3894	2186.7763	28.7837	28.2279	27.1219
C4H8OOH1-3=OH+CH2O+C3H6	20.9303	1.3000	24900.0017	3.9489	17.3802	24.5464	35.2050	-0.7866	26184.7273	3.9633	16.5947	22.6378
C4H8OOH1-3=C4H8O1-3+OH	21.6749	0.6900	16000.0020	9.8600	18.3898	22.8938	16.1896	1.3124	12599.2132	11.6654	18.9152	22.9950
C4H8OOH1-3O2=NC4KET13+OH	9.2965	2.4000	19899.9969	4.1834	15.8611	22.5316	61.8172	-4.2750	34181.2653	0.8481	15.0855	20.7226
C4H8OOH2-4O2=NC4KET24+OH	4.0587	2.9000	17000.0000	4.9716	15.5365	21.8240	74.7797	-5.9463	35070.7864	2.5289	16.0555	20.7579
NC5H12+H=C5H11-1+H2	12.7628	2.6900	6449.9955	22.9886	28.0989	31.5864	66.4510	-4.2282	19923.9445	20.1222	27.2176	29.2999
NC5H12+H=C5H11-2+H2	14.7710	2.4000	4470.9966	25.1863	29.0997	31.8882	34.3409	-0.2838	8691.3601	23.8298	28.0068	29.9969
NC5H12+HO2=C5H11-3+H2O2	4.1463	3.3700	13719.9973	11.2812	20.5213	26.3093	41.3378	-1.3908	20764.5048	11.7964	21.2815	25.5421
NC5H12+CH3O2=C5H11-2+CH3O2H	4.8363	3.3700	15219.9970	10.4615	20.4564	26.6218	37.0191	-0.8842	22381.8791	8.9981	19.6482	24.6668
C5H11-2+O2=C5H11O2-2	33.4853	-0.8160	-536.4952	28.9541	28.1185	27.4179	52.3074	-3.3126	2813.5854	28.8895	28.0092	26.4211
C5H11O2-1=C5H10OOH1-2	19.8092	1.1000	30099.9985	-3.6485	12.2608	20.5968	-2.3432	3.6702	18629.6439	1.7160	13.6348	20.8661
C5H11O2-3=C5H10OOH3-2	21.9564	0.9000	30500.0003	-3.1468	12.8252	21.1231	66.7876	-4.7218	37132.8022	0.0717	15.4848	21.5549
C5H10OOH2-4=OH+CH3CHO+C3H6	20.8888	1.2000	22700.0044	5.5001	17.7550	24.2983	25.4865	0.4728	23143.1928	5.1327	17.1066	23.2574
CH3OCH2OCH3+OH=CH3OCHOCH3+H2O	9.8482	2.7217	-1243.8636	28.0146	29.2753	30.8488	18.8587	1.5972	1534.5763	27.2403	29.1197	30.6129
COCO2HOCJ=C3H6O3_13+OH	30.0633	-0.3829	19343.1524	8.2162	17.6847	22.2862	30.3214	-0.2345	17733.4274	11.0163	19.7776	24.0769
